"","run_id","sim_b","name","Mean","MCSE","StdDev","X5.","X50.","X95.","N_Eff","N_Eff.s","R_hat"
"1",1,1.22380866212425,"b",1.5,0,0.7,0.7,1.5,2.8,1690.9,0.1,1
"2",2,-0.047530582644783,"b",0,0,0.6,-0.8,-0.1,1,2205.4,0,1
"3",3,3.7859153555367,"b",2.9,0,1.1,1.2,2.8,4.9,2500.7,0.1,1
"4",4,-0.772924499431546,"b",-0.14,0.02,1.17,-1.93,-0.22,1.9,3038.23,0.09,1
"5",5,-2.77730888622679,"b",-2.13,0.03,1.13,-4.17,-1.95,-0.64,1971.57,0.04,1
"6",6,-0.808141775429325,"b",-0.7,0,1,-2.4,-0.7,0.9,3374.2,0.1,1
"7",7,-0.79676020973508,"b",-0.7,0.02,1.25,-2.74,-0.7,1.4,3011.05,0.14,1
"8",8,0.730870808823387,"b",1.5,0,0.7,0.7,1.3,2.9,1351.3,0,1
"9",9,2.46366328396956,"b",2.1,0,0.5,1.4,2,3,1797.5,0,1
"10",10,0.0760501886578264,"b",0.5,0,1.2,-1.2,0.3,2.6,2417.8,0.1,1
"11",11,-1.6719693303754,"b",0.28,0.02,1.04,-1.25,0.16,2.2,2854.54,0.1,1
"12",12,4.31503842174965,"b",0.6,0,1.3,-1.5,0.5,2.7,1336,0.1,1
"13",13,-3.4163987448963,"b",-3.5,0,1,-5.2,-3.5,-2,1164.1,0,1
"14",14,1.42395472895944,"b",1.7,0,0.5,1,1.6,2.7,1748.5,0,1
"15",15,3.27936452544696,"b",1.5,0,0.7,0.5,1.3,3,1962.3,0,1
"16",16,-1.00275984996137,"b",-0.3,0,0.8,-1.4,-0.3,1.1,2130.2,0,1
"17",17,-0.620805923684096,"b",-0.3,0,0.9,-1.9,-0.3,1.1,2806.2,0,1
"18",18,2.77082007550346,"b",2.7,0,1.1,1.2,2.6,4.7,1551.2,0,1
"19",19,0.794169624415161,"b",0.2,0,1.4,-2.1,0.2,2.4,1230.1,0.1,1
"20",20,3.04516777014624,"b",3.4,0,0.9,2.1,3.3,5,2478.2,0.1,1
"21",21,-0.345401721616414,"b",-0.6,0,0.6,-1.7,-0.6,0.1,2522.3,0,1
"22",22,-2.62547380891526,"b",0.2,0,1,-1.5,0.1,2,3382.9,0.1,1
"23",23,3.30830435898442,"b",1.2,0,1.1,-0.2,1.1,3.2,2564.9,0.1,1
"24",24,-1.47107297920054,"b",-1.8,0,0.6,-2.9,-1.7,-1,1498.3,0,1
"25",25,-0.262399395973748,"b",-0.1,0,1.2,-1.9,-0.2,2,2242.5,0.1,1
"26",26,-1.12440166838057,"b",-0.09,0.02,1.29,-2.1,-0.17,2.15,3738.39,0.17,1
"27",27,-0.575847703839194,"b",-1.76,0.02,0.97,-3.65,-1.56,-0.54,2445.95,0.05,1
"28",28,1.30576969170832,"b",0.8,0,1.1,-1.1,0.8,2.6,2665.1,0.1,1
"29",29,-0.520933890488976,"b",0,0,1.3,-2.1,0,2.2,1149.7,0.1,1
"30",30,0.470775370980924,"b",-0.4,0.02,1.06,-2.14,-0.41,1.4,3969.76,0.13,1
